external_ref,oem,model,chemistry,rated_capacity_kwh,nominal_voltage,manufacture_date,source_city,source_state,lat,lng,cycle_count,capacity_now_kwh,avg_temp_c,max_temp_c,thermal_stress_hours,internal_resistance_mohm,ir_growth_pct,coulombic_efficiency,fade_rate,fade_acceleration,cv_phase_fraction,voltage_slope,voltage_variance,discharge_efficiency
BAT-0011,Fleet Operator A (3W),VoltPack-6600,NMC,6.6,60.0,2023-02-15,Bengaluru,Karnataka,12.9123,77.5705,971,5.23,29.9,43.4,40.8,17.4,27.7,0.9929,2.281,0.041,0.239,0.159,0.0679,0.9514
BAT-0012,Fleet Operator B (3W),VoltPack-7900,LFP,7.9,48.0,2024-06-02,Hyderabad,Telangana,17.2642,78.5314,1535,4.91,30.2,47.3,43.1,36.7,53.9,0.9873,2.3,0.041,0.367,0.245,0.1131,0.9151
BAT-0013,Fleet Operator B (2W),VoltPack-3600,NMC,3.6,60.0,2021-05-25,Bengaluru,Karnataka,12.8939,77.6537,307,2.9,30.4,46.8,34.9,26.9,37.8,0.9933,5.255,0.011,0.228,0.152,0.044,0.9545
BAT-0014,Fleet Operator B (2W),VoltPack-3000,NMC,3.0,48.0,2024-03-25,Nagpur,Maharashtra,21.0143,79.0505,492,2.37,35.7,51.6,27.8,14.9,42.4,0.9928,4.195,0.026,0.239,0.16,0.0477,0.9511
BAT-0015,Fleet Operator B (2W),VoltPack-4000,LFP,4.0,60.0,2023-07-01,Hyderabad,Telangana,17.4978,78.3737,705,2.93,29.1,51.0,51.8,26.6,41.1,0.991,4.234,0.087,0.282,0.188,0.0555,0.939
BAT-0016,Fleet Operator B (3W),VoltPack-6100,NMC,6.1,60.0,2021-02-16,Ahmedabad,Gujarat,23.0555,72.5083,459,4.95,29.7,41.5,10.1,24.7,13.5,0.9935,3.603,0.029,0.224,0.149,0.0371,0.9556
BAT-0017,Fleet Operator A (2W),VoltPack-3500,NMC,3.5,60.0,2024-10-13,Bengaluru,Karnataka,13.0441,77.7061,1421,2.76,33.7,52.8,58.9,33.0,14.4,0.9927,1.214,0.008,0.241,0.161,0.065,0.9507
BAT-0018,Fleet Operator C (2W),VoltPack-3700,NMC,3.7,60.0,2022-06-06,Bengaluru,Karnataka,13.0724,77.709,1186,2.38,34.3,52.4,68.3,32.7,50.0,0.988,2.656,0.029,0.35,0.233,0.1011,0.9199
BAT-0019,Fleet Operator B (2W),VoltPack-4400,LFP,4.4,60.0,2021-10-02,Hyderabad,Telangana,17.5305,78.5796,1254,3.23,29.6,49.2,32.0,44.4,49.7,0.991,1.79,0.015,0.283,0.188,0.0403,0.9389
BAT-0020,Fleet Operator A (2W),VoltPack-4300,NMC,4.3,52.0,2022-04-21,Bengaluru,Karnataka,12.8526,77.6135,1482,2.88,36.2,62.7,92.9,45.0,32.8,0.9889,2.183,0.013,0.33,0.22,0.0769,0.9255
BAT-0021,Fleet Operator A (3W),VoltPack-6400,NMC,6.4,48.0,2021-10-28,Jaipur,Rajasthan,26.7624,75.7416,305,5.35,33.5,39.3,20.6,34.3,8.5,0.9943,6.387,0.026,0.205,0.137,0.0509,0.9608
BAT-0022,Fleet Operator B (2W),VoltPack-4100,NMC,4.1,60.0,2021-03-27,Hyderabad,Telangana,17.3258,78.5121,1522,3.11,35.0,52.9,26.0,34.0,53.1,0.9917,1.854,0.018,0.264,0.176,0.0418,0.9441
BAT-0023,Fleet Operator C (2W),VoltPack-4000,NMC,4.0,60.0,2022-07-20,Chennai,Tamil Nadu,12.9707,80.3561,1081,2.03,37.6,48.1,89.7,19.4,47.5,0.985,4.579,0.035,0.42,0.28,0.0666,0.9
BAT-0024,Fleet Operator A (2W),VoltPack-3800,NMC,3.8,48.0,2022-08-18,Pune,Maharashtra,18.4872,73.8737,1839,2.43,31.3,46.6,35.2,38.0,14.0,0.9879,1.921,0.02,0.353,0.235,0.1405,0.919
BAT-0025,Fleet Operator B (2W),VoltPack-4200,NMC,4.2,52.0,2022-06-18,Bengaluru,Karnataka,12.9263,77.6909,1281,3.22,34.5,44.1,26.4,18.9,21.3,0.9921,1.99,0.009,0.257,0.171,0.0345,0.9463
BAT-0026,Fleet Operator C (2W),VoltPack-3300,NMC,3.3,48.0,2022-07-24,Chennai,Tamil Nadu,13.2263,80.2111,648,2.36,35.1,49.6,49.1,38.6,47.0,0.9904,5.0,0.017,0.296,0.197,0.058,0.9352
BAT-0027,Fleet Operator A (2W),VoltPack-3500,NMC,3.5,60.0,2024-07-02,Pune,Maharashtra,18.5548,73.9138,1304,2.54,31.1,48.0,25.3,32.9,15.3,0.9907,2.17,0.045,0.288,0.192,0.0971,0.9374
BAT-0028,Fleet Operator B (2W),VoltPack-3200,NMC,3.2,48.0,2024-12-09,Jaipur,Rajasthan,27.0306,75.6691,1035,2.45,34.7,48.7,52.3,27.6,47.6,0.992,2.359,0.008,0.258,0.172,0.0436,0.9459
BAT-0029,Fleet Operator A (2W),VoltPack-3600,NMC,3.6,52.0,2022-02-20,Pune,Maharashtra,18.6016,73.8072,628,2.28,35.0,45.6,78.1,34.8,56.0,0.9877,4.9,0.019,0.357,0.238,0.0926,0.9178
BAT-0030,Fleet Operator A (2W),VoltPack-4400,LFP,4.4,60.0,2023-12-05,Bengaluru,Karnataka,12.8225,77.6217,522,3.98,30.9,43.4,8.0,14.5,12.4,0.9965,2.172,0.034,0.155,0.103,0.0249,0.9751
BAT-0031,Fleet Operator B (2W),VoltPack-4200,NMC,4.2,60.0,2024-08-23,Ahmedabad,Gujarat,23.0495,72.5314,736,3.67,30.7,49.1,23.1,23.3,12.4,0.9955,2.012,0.031,0.177,0.118,0.0168,0.9688
BAT-0032,Fleet Operator B (2W),VoltPack-3400,NMC,3.4,52.0,2023-05-07,Hyderabad,Telangana,17.2417,78.5763,1662,2.22,31.7,44.4,76.6,40.3,47.7,0.9883,2.226,0.024,0.343,0.228,0.0797,0.9219
BAT-0033,Fleet Operator A (3W),VoltPack-5700,NMC,5.7,60.0,2022-04-25,Bengaluru,Karnataka,13.1184,77.6335,1624,3.66,32.1,44.3,24.3,35.9,15.7,0.988,1.902,0.042,0.351,0.234,0.1198,0.9197
BAT-0034,Fleet Operator A (2W),VoltPack-4200,LFP,4.2,48.0,2023-02-14,Hyderabad,Telangana,17.2703,78.4433,1813,2.88,30.7,50.1,29.5,31.2,28.1,0.9894,1.48,0.009,0.318,0.212,0.1134,0.9289
BAT-0035,Fleet Operator A (2W),VoltPack-3600,NMC,3.6,52.0,2021-06-17,Mumbai,Maharashtra,19.16,72.8918,894,2.84,34.5,45.0,47.5,42.8,31.0,0.9927,1.938,0.021,0.242,0.161,0.0341,0.9505
BAT-0036,Fleet Operator A (2W),VoltPack-3200,LFP,3.2,48.0,2023-08-23,Pune,Maharashtra,18.6329,73.8082,1375,2.16,34.2,49.0,49.6,26.5,21.9,0.9891,2.121,0.014,0.326,0.218,0.1203,0.9265
BAT-0037,Fleet Operator C (2W),VoltPack-3300,NMC,3.3,60.0,2024-11-12,Ahmedabad,Gujarat,23.0758,72.7123,358,2.69,31.1,39.2,14.9,19.5,28.3,0.9937,5.956,0.026,0.22,0.147,0.0265,0.9566
BAT-0038,Fleet Operator B (2W),VoltPack-4200,NMC,4.2,60.0,2021-09-17,Pune,Maharashtra,18.462,73.8587,733,2.76,36.6,46.6,31.2,23.5,18.5,0.9885,5.591,0.018,0.339,0.226,0.1283,0.9228
BAT-0039,Fleet Operator A (2W),VoltPack-3000,LFP,3.0,60.0,2022-05-27,Nagpur,Maharashtra,21.2649,79.2155,1358,1.86,37.0,46.6,41.7,36.0,39.5,0.9872,3.105,0.016,0.369,0.246,0.0886,0.9146
BAT-0040,Fleet Operator B (2W),VoltPack-3000,LFP,3.0,60.0,2023-12-26,Chennai,Tamil Nadu,13.0855,80.185,785,2.13,33.4,49.1,34.4,44.5,24.8,0.9902,3.331,0.011,0.299,0.199,0.0459,0.9343
BAT-0041,Fleet Operator A (2W),VoltPack-4100,LFP,4.1,48.0,2024-10-16,Pune,Maharashtra,18.393,73.7608,1777,2.79,34.5,51.5,52.6,12.0,47.7,0.9893,1.742,0.045,0.321,0.214,0.1222,0.928
BAT-0042,Fleet Operator A (2W),VoltPack-4200,LCO,4.2,52.0,2021-10-26,Chennai,Tamil Nadu,13.0726,80.4021,881,3.14,30.4,46.4,28.9,22.7,45.0,0.9914,2.614,0.013,0.272,0.181,0.0629,0.9419
BAT-0043,Fleet Operator A (2W),VoltPack-3900,NMC,3.9,60.0,2024-01-19,Jaipur,Rajasthan,26.9594,75.6777,700,2.6,37.2,42.8,82.6,30.2,47.8,0.9888,4.428,0.036,0.332,0.221,0.058,0.925
BAT-0044,Fleet Operator A (3W),VoltPack-7800,LFP,7.8,60.0,2022-08-15,Ahmedabad,Gujarat,22.9041,72.5578,535,6.02,31.5,40.9,16.8,24.5,20.7,0.9922,3.642,0.026,0.253,0.169,0.0757,0.9472
BAT-0045,Fleet Operator B (2W),VoltPack-3400,NMC,3.4,60.0,2021-02-01,New Delhi,Delhi,28.729,77.2445,436,2.64,31.0,49.1,46.2,15.2,50.7,0.9924,4.725,0.033,0.249,0.166,0.0563,0.9484
BAT-0046,Fleet Operator B (2W),VoltPack-3800,NMC,3.8,52.0,2022-06-26,New Delhi,Delhi,28.7534,77.2238,1252,1.93,38.8,53.4,42.0,37.9,24.1,0.985,4.345,0.01,0.42,0.28,0.0838,0.9
BAT-0047,Fleet Operator B (2W),VoltPack-3600,LCO,3.6,48.0,2022-11-27,Chennai,Tamil Nadu,13.002,80.3983,851,2.3,31.1,50.6,42.5,17.1,25.3,0.9879,4.306,0.035,0.353,0.235,0.0896,0.9189
BAT-0048,Fleet Operator B (3W),VoltPack-7100,NMC,7.1,60.0,2021-03-24,Ahmedabad,Gujarat,23.1499,72.7072,1225,5.09,32.3,45.0,34.7,17.5,37.4,0.9904,2.013,0.009,0.295,0.197,0.0487,0.9353
BAT-0049,Fleet Operator A (2W),VoltPack-3200,NMC,3.2,48.0,2023-10-03,Mumbai,Maharashtra,19.0627,72.8192,1104,2.19,32.2,52.5,57.9,18.2,26.6,0.9893,2.837,0.062,0.32,0.213,0.063,0.9284
BAT-0050,Fleet Operator A (4W),VoltPack-38000,LFP,38.0,96.0,2022-01-16,Jaipur,Rajasthan,26.9013,75.8693,1404,26.11,35.5,50.2,74.8,41.2,64.3,0.9895,1.829,0.012,0.317,0.211,0.1151,0.9292
BAT-0051,Fleet Operator B (2W),VoltPack-3400,NMC,3.4,48.0,2023-12-05,New Delhi,Delhi,28.5464,77.133,1154,1.76,34.6,45.9,71.8,32.0,39.8,0.985,4.142,0.014,0.42,0.28,0.0651,0.9
BAT-0052,Fleet Operator A (2W),VoltPack-4100,NMC,4.1,52.0,2024-01-27,Pune,Maharashtra,18.4287,73.722,837,3.03,30.4,45.6,53.7,20.1,26.1,0.9912,3.443,0.005,0.278,0.185,0.0453,0.9402
BAT-0053,Fleet Operator A (3W),VoltPack-7700,NMC,7.7,60.0,2022-08-26,Bengaluru,Karnataka,12.9865,77.6968,1137,5.19,33.2,52.0,56.6,31.8,38.1,0.989,2.914,0.098,0.327,0.218,0.0982,0.9262
BAT-0054,Fleet Operator A (2W),VoltPack-3600,NMC,3.6,52.0,2022-12-18,Hyderabad,Telangana,17.3975,78.5772,464,2.84,32.9,47.8,48.8,17.3,37.9,0.9928,3.778,0.038,0.24,0.16,0.049,0.951
BAT-0055,Fleet Operator B (2W),VoltPack-4200,NMC,4.2,52.0,2021-03-24,Chennai,Tamil Nadu,13.1376,80.2477,1225,3.28,40.3,59.7,157.6,17.6,25.5,0.9925,1.939,0.027,0.247,0.164,0.0767,0.9491
BAT-0056,Fleet Operator B (2W),VoltPack-3900,LFP,3.9,48.0,2022-03-28,New Delhi,Delhi,28.5053,77.273,748,3.48,31.3,41.3,9.6,34.2,28.1,0.9961,1.163,0.034,0.163,0.109,0.0163,0.9728
BAT-0057,Fleet Operator A (2W),VoltPack-3800,NMC,3.8,60.0,2021-05-11,Bengaluru,Karnataka,13.0234,77.6212,625,2.89,33.5,41.0,43.3,17.3,33.7,0.9918,3.342,0.006,0.263,0.175,0.0796,0.9446
BAT-0058,Fleet Operator A (2W),VoltPack-3600,NMC,3.6,60.0,2021-02-04,Bengaluru,Karnataka,12.8294,77.6948,590,3.12,31.1,41.4,30.8,44.5,8.8,0.9953,2.626,0.002,0.182,0.121,0.0188,0.9674
BAT-0059,Fleet Operator C (2W),VoltPack-3900,LFP,3.9,48.0,2021-08-04,Pune,Maharashtra,18.607,73.8441,1595,3.07,33.1,47.3,23.5,34.7,38.1,0.9927,1.406,0.019,0.242,0.162,0.0422,0.9503
BAT-0060,Fleet Operator C (2W),VoltPack-3600,NMC,3.6,60.0,2023-05-01,Hyderabad,Telangana,17.5321,78.6183,866,2.76,32.7,47.2,45.4,35.0,22.4,0.9921,2.603,0.034,0.257,0.171,0.0505,0.9463
BAT-0061,Fleet Operator B (2W),VoltPack-4400,NMC,4.4,48.0,2021-12-10,Lucknow,Uttar Pradesh,26.9803,80.9262,1555,2.95,37.8,52.7,26.6,38.4,32.6,0.9889,2.192,0.02,0.33,0.22,0.057,0.9254
BAT-0062,Fleet Operator A (2W),VoltPack-3600,NMC,3.6,48.0,2022-11-08,Bengaluru,Karnataka,12.8518,77.565,490,2.76,33.4,50.5,49.3,13.2,31.0,0.9921,5.502,0.018,0.257,0.171,0.0565,0.9462
BAT-0063,Fleet Operator A (2W),VoltPack-3100,NMC,3.1,60.0,2024-05-08,Hyderabad,Telangana,17.2759,78.5123,1035,1.42,35.1,42.4,76.9,42.7,35.5,0.985,5.39,0.015,0.42,0.28,0.0737,0.9
BAT-0064,Fleet Operator C (2W),VoltPack-3100,LFP,3.1,48.0,2021-02-25,Ahmedabad,Gujarat,23.0044,72.6898,1563,2.25,33.4,44.4,54.2,24.0,54.4,0.9907,1.557,0.008,0.288,0.192,0.0816,0.9375
BAT-0065,Fleet Operator B (2W),VoltPack-3900,LFP,3.9,48.0,2023-01-10,Kochi,Kerala,10.0618,76.304,960,2.65,30.3,53.8,70.1,37.8,20.1,0.9892,3.732,0.045,0.323,0.215,0.0599,0.9275
BAT-0066,Fleet Operator B (2W),VoltPack-3900,NMC,3.9,52.0,2022-02-26,Chennai,Tamil Nadu,12.996,80.3165,1586,2.53,30.8,50.8,53.8,14.8,53.2,0.9882,2.138,0.02,0.345,0.23,0.0553,0.9211
BAT-0067,Fleet Operator A (2W),VoltPack-3700,LFP,3.7,48.0,2022-11-22,New Delhi,Delhi,28.7091,77.2425,1031,2.45,32.2,41.7,38.4,43.4,49.3,0.9886,3.634,0.013,0.336,0.224,0.1185,0.9238
BAT-0068,Fleet Operator B (2W),VoltPack-3700,LFP,3.7,60.0,2022-03-13,Pune,Maharashtra,18.4243,73.8477,1540,2.56,37.9,43.5,60.2,33.4,56.8,0.9896,1.623,0.095,0.314,0.209,0.0839,0.9301
BAT-0069,Fleet Operator A (2W),VoltPack-3700,NMC,3.7,52.0,2023-09-18,Hyderabad,Telangana,17.3549,78.3443,735,3.05,33.3,49.8,20.1,22.4,27.1,0.9939,2.12,0.008,0.215,0.143,0.0364,0.9582
BAT-0070,Fleet Operator A (2W),VoltPack-4400,LFP,4.4,48.0,2021-09-21,Bengaluru,Karnataka,12.998,77.5644,497,3.27,33.9,43.7,18.1,27.1,52.6,0.9913,5.763,0.01,0.275,0.183,0.0692,0.9412
BAT-0071,Fleet Operator A (2W),VoltPack-3200,NMC,3.2,52.0,2021-09-25,Pune,Maharashtra,18.4775,73.8354,794,2.28,29.6,40.1,29.3,42.9,10.6,0.9902,3.661,0.092,0.299,0.199,0.0813,0.9343
BAT-0072,Fleet Operator A (2W),VoltPack-4200,NMC,4.2,48.0,2022-07-21,Pune,Maharashtra,18.551,73.8305,495,3.7,28.6,49.7,6.2,36.0,33.4,0.9957,1.975,0.002,0.173,0.115,0.0179,0.9701
BAT-0073,Fleet Operator A (2W),VoltPack-4100,NMC,4.1,52.0,2021-11-03,New Delhi,Delhi,28.7498,77.2593,742,3.21,32.7,41.5,30.0,42.6,43.6,0.9926,3.476,0.032,0.246,0.164,0.061,0.9494
BAT-0074,Fleet Operator B (2W),VoltPack-4300,NMC,4.3,52.0,2021-04-24,Bengaluru,Karnataka,12.8727,77.6214,807,3.77,33.7,46.0,7.5,25.0,12.3,0.9956,1.604,0.019,0.176,0.117,0.0363,0.9692
BAT-0075,Fleet Operator B (3W),VoltPack-5700,NMC,5.7,60.0,2023-10-01,Hyderabad,Telangana,17.3877,78.4142,738,4.45,29.5,40.5,31.1,34.5,12.7,0.9925,2.809,0.004,0.247,0.165,0.0715,0.949
BAT-0076,Fleet Operator A (2W),VoltPack-3400,LFP,3.4,60.0,2023-03-20,Pune,Maharashtra,18.5304,73.722,1624,2.19,30.9,45.6,50.2,40.2,35.9,0.9881,1.903,0.03,0.349,0.232,0.0903,0.9202
BAT-0077,Fleet Operator A (2W),VoltPack-3300,NMC,3.3,52.0,2024-08-07,Kochi,Kerala,10.0051,76.317,1895,2.13,34.9,53.6,64.1,18.4,15.1,0.9881,2.079,0.023,0.349,0.233,0.0919,0.9201
BAT-0078,Fleet Operator C (2W),VoltPack-3900,NMC,3.9,52.0,2022-02-12,Kochi,Kerala,9.7826,76.2395,1032,2.81,32.5,49.3,30.2,38.6,22.6,0.9905,2.739,0.034,0.292,0.195,0.1012,0.9363
BAT-0079,Fleet Operator A (2W),VoltPack-4300,LCO,4.3,48.0,2021-12-05,Hyderabad,Telangana,17.2394,78.4731,1784,2.33,38.6,47.2,82.4,15.0,31.0,0.985,2.744,0.034,0.42,0.28,0.1792,0.9
BAT-0080,Fleet Operator A (2W),VoltPack-4100,LFP,4.1,52.0,2023-02-04,Hyderabad,Telangana,17.4395,78.5288,726,3.62,30.6,46.1,34.0,44.5,32.5,0.9958,1.528,0.042,0.17,0.113,0.0242,0.9708
BAT-0081,Fleet Operator B (2W),VoltPack-3600,LFP,3.6,60.0,2023-12-03,Indore,Madhya Pradesh,22.7564,75.8636,1781,2.33,31.3,45.3,60.6,13.7,51.8,0.9882,2.367,0.012,0.346,0.231,0.0623,0.9209
BAT-0082,Fleet Operator B (2W),VoltPack-3000,NMC,3.0,52.0,2021-05-11,Hyderabad,Telangana,17.2895,78.579,1436,2.27,35.3,45.0,21.6,18.3,43.0,0.9917,1.388,0.045,0.264,0.176,0.0889,0.9441
BAT-0083,Fleet Operator B (2W),VoltPack-3200,NMC,3.2,52.0,2023-03-17,Mumbai,Maharashtra,18.935,72.8836,1638,1.45,32.0,49.8,84.4,43.7,46.4,0.985,3.347,0.043,0.42,0.28,0.1588,0.9
BAT-0084,Fleet Operator B (2W),VoltPack-3500,LCO,3.5,52.0,2022-09-02,Bengaluru,Karnataka,13.0024,77.6372,1860,2.17,31.8,46.2,83.7,32.4,27.8,0.9873,1.966,0.032,0.366,0.244,0.0924,0.9152
BAT-0085,Fleet Operator B (2W),VoltPack-3700,LFP,3.7,52.0,2022-04-01,New Delhi,Delhi,28.7048,77.3162,1630,2.28,34.3,43.3,24.5,15.6,34.4,0.9871,2.608,0.002,0.371,0.248,0.0749,0.9138
BAT-0086,Fleet Operator A (2W),VoltPack-3900,NMC,3.9,60.0,2021-06-10,Ahmedabad,Gujarat,23.1576,72.5523,1608,3.09,38.6,61.2,105.0,28.5,49.7,0.9929,1.225,0.029,0.239,0.159,0.0522,0.9513
BAT-0087,Fleet Operator A (3W),VoltPack-5400,NMC,5.4,60.0,2021-05-08,Indore,Madhya Pradesh,22.7748,75.7664,1484,4.1,31.5,51.1,57.7,42.7,23.1,0.9918,1.662,0.093,0.262,0.175,0.0892,0.9447
BAT-0088,Fleet Operator C (3W),VoltPack-7500,NMC,7.5,60.0,2021-11-15,New Delhi,Delhi,28.7159,77.3306,639,6.7,29.1,40.6,32.8,30.4,25.6,0.9962,1.624,0.013,0.162,0.108,0.0151,0.973
BAT-0089,Fleet Operator B (2W),VoltPack-3300,LFP,3.3,52.0,2021-05-13,Hyderabad,Telangana,17.3014,78.5013,1056,2.14,34.2,53.8,37.6,14.8,10.5,0.9882,3.957,0.034,0.347,0.231,0.1337,0.9208
BAT-0090,Fleet Operator A (2W),VoltPack-4200,LFP,4.2,52.0,2023-05-10,Hyderabad,Telangana,17.3299,78.5328,1384,3.15,29.3,42.1,42.5,33.8,53.9,0.9915,1.577,0.006,0.27,0.18,0.0476,0.9426
BAT-0091,Fleet Operator A (2W),VoltPack-4200,NMC,4.2,60.0,2022-01-21,Mumbai,Maharashtra,19.0195,73.0022,1260,3.02,34.2,48.7,38.2,44.3,54.3,0.9905,2.309,0.005,0.294,0.196,0.084,0.9357
BAT-0092,Fleet Operator A (2W),VoltPack-3200,NMC,3.2,48.0,2021-10-05,Mumbai,Maharashtra,19.1982,73.0252,1099,2.37,29.5,40.5,46.9,28.9,21.3,0.9912,2.565,0.027,0.277,0.184,0.0888,0.9406
BAT-0093,Fleet Operator A (2W),VoltPack-4100,LFP,4.1,48.0,2023-06-23,Pune,Maharashtra,18.4001,73.8467,484,3.25,30.7,42.5,26.6,41.2,18.5,0.9929,5.074,0.068,0.238,0.159,0.0608,0.9514
BAT-0094,Fleet Operator B (2W),VoltPack-3800,NMC,3.8,60.0,2024-08-17,Pune,Maharashtra,18.4112,73.9923,1479,2.77,33.1,52.1,52.7,28.5,44.4,0.9908,2.183,0.034,0.285,0.19,0.0621,0.9381
BAT-0095,Fleet Operator B (2W),VoltPack-4000,NMC,4.0,52.0,2021-04-06,New Delhi,Delhi,28.4649,77.3506,624,3.01,35.6,50.5,13.8,41.4,12.0,0.9916,3.898,0.027,0.267,0.178,0.0919,0.9433
BAT-0096,Fleet Operator B (2W),VoltPack-4200,NMC,4.2,52.0,2021-06-06,Hyderabad,Telangana,17.3939,78.5665,1198,3.16,35.2,50.5,14.8,24.8,53.6,0.9915,2.199,0.041,0.269,0.179,0.0399,0.9428
BAT-0097,Fleet Operator A (3W),VoltPack-7500,NMC,7.5,48.0,2024-09-28,Jaipur,Rajasthan,26.7689,75.8753,576,5.34,32.6,43.9,43.1,18.2,53.9,0.9902,4.86,0.027,0.299,0.199,0.0585,0.9343
BAT-0098,Fleet Operator A (2W),VoltPack-3400,LCO,3.4,60.0,2022-10-07,Pune,Maharashtra,18.3749,73.8933,1711,2.35,33.2,45.9,72.5,43.9,41.9,0.9896,2.153,0.006,0.313,0.209,0.0801,0.9303
BAT-0099,Fleet Operator A (3W),VoltPack-7500,LFP,7.5,48.0,2022-02-20,Hyderabad,Telangana,17.3956,78.6178,1674,4.6,33.9,43.3,55.8,13.8,52.3,0.987,2.563,0.042,0.373,0.249,0.0905,0.9134
BAT-0100,Fleet Operator B (2W),VoltPack-4300,LFP,4.3,48.0,2022-08-09,New Delhi,Delhi,28.745,77.2393,495,3.64,31.0,44.5,17.6,43.3,27.8,0.9946,2.609,0.028,0.198,0.132,0.0307,0.9629
BAT-0101,Fleet Operator A (2W),VoltPack-3700,NMC,3.7,48.0,2023-05-12,Chennai,Tamil Nadu,13.1252,80.2529,1331,2.51,32.5,40.1,49.1,31.7,11.8,0.9892,2.235,0.036,0.323,0.215,0.0789,0.9275
BAT-0102,Fleet Operator B (2W),VoltPack-3000,LFP,3.0,48.0,2024-03-20,Jaipur,Rajasthan,26.8116,75.7379,1134,1.39,33.3,46.0,118.6,17.8,38.5,0.985,4.637,0.008,0.42,0.28,0.0973,0.9
BAT-0103,Fleet Operator A (2W),VoltPack-3300,LFP,3.3,48.0,2024-04-10,Pune,Maharashtra,18.5877,73.7604,474,2.83,31.6,48.8,29.3,25.3,14.0,0.995,3.301,0.042,0.188,0.126,0.0241,0.9656
BAT-0104,Fleet Operator A (2W),VoltPack-4100,LFP,4.1,48.0,2024-03-25,Hyderabad,Telangana,17.4409,78.4886,1187,3.1,32.9,50.0,21.9,20.5,48.4,0.9917,2.2,0.045,0.265,0.177,0.0384,0.9438
BAT-0105,Fleet Operator A (2W),VoltPack-3200,NMC,3.2,48.0,2024-09-18,Hyderabad,Telangana,17.4688,78.3932,941,1.81,36.2,53.3,44.1,26.3,45.6,0.9855,4.597,0.016,0.407,0.272,0.1594,0.9036
BAT-0106,Fleet Operator C (3W),VoltPack-7700,LFP,7.7,60.0,2023-07-12,Chennai,Tamil Nadu,13.032,80.4143,835,6.62,31.1,47.9,17.5,26.9,21.5,0.9951,1.612,0.024,0.188,0.125,0.0181,0.9658
BAT-0107,Fleet Operator A (3W),VoltPack-7100,NMC,7.1,60.0,2024-10-13,Indore,Madhya Pradesh,22.7936,75.9813,305,6.58,29.2,40.4,5.1,23.8,6.8,0.9972,2.57,0.038,0.137,0.092,0.0096,0.9801
BAT-0108,Fleet Operator B (3W),VoltPack-5400,LFP,5.4,48.0,2024-06-10,Pune,Maharashtra,18.5584,73.8896,600,3.58,33.1,42.4,41.1,22.8,22.6,0.9887,4.85,0.005,0.335,0.223,0.1254,0.9241
